id,title,genres,overview,director,cast,runtime,release_date,rating,poster_url,trailer_url
4191,The Princess Switch,Romance | Comedy,"When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places.",Mike Rohl,"Vanessa Hudgens, Sam Palladio, Nick Sagar, Alexa Adeosun, Suanne Braun",101,25/10/2018,6.996,/static/posters/The_Princess_Switch.jpg,https://www.youtube.com/embed/-WBhj57fHeI
4192,The Drug King,Crime | Action | Drama,"Busan, South Korea, 1970s. Lee Doo-sam is a small-time smuggler. After helping a drug gang to smuggle meth, he falls into the dark crime world. Quick-witted and full of ambition, he eventually takes over the drug underworld and starts to lead a double life: a good community leader during the day but an infamous drug lord during the night.",Woo Min-ho,"Song Kang-ho, Cho Jung-seok, Bae Doona, Kim So-jin, Kim Dae-myung",139,19/12/2018,6.301,/static/posters/The_Drug_King.jpg,https://www.youtube.com/embed/Ad6CXptfkVA
4193,Mom's Friend 5,Romance,"Jae-hong is studying for his college entrance exam for the third time when his mother's sexy friend Eun-jin gets a divorce and comes to live with them until she finds a place to stay. Day by day, Jae-hong gets attracted to her sexy body. Not only that, his father Young-ho is also attracted to her...",Myeong Seok Hwan,"Shin Yeon-woo, Lee Yeong-ho-I, Choi Yeon-i, Seo Eun-yeong-I, Hyeon Yeong-im-I",77,24/08/2018,5,/static/posters/Mom's_Friend_5.jpg,https://www.youtube.com/embed/1xVuhaWnClY
4194,Replicas,Science Fiction | Thriller | Drama,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,Jeffrey Nachmanoff,"Keanu Reeves, Alice Eve, Thomas Middleditch, John Ortiz, Nyasha Hatendi",107,25/10/2018,6.032,/static/posters/Replicas.jpg,https://www.youtube.com/embed/bKdpGHazAqs
4195,Outlaw King,Action | History | War,"Forced into exile by the English after being crowned King of Scotland, legendary warrior Robert the Bruce fights to reclaim the throne.",David Mackenzie,"Chris Pine, Aaron Taylor-Johnson, Florence Pugh, Billy Howle, Sam Spruell",122,06/09/2018,6.827,/static/posters/Outlaw_King.jpg,https://www.youtube.com/embed/wHpO9AG_dkE
4196,Mary Queen of Scots,Drama | History,"In 1561, Mary Stuart, widow of the King of France, returns to Scotland, reclaims her rightful throne and menaces the future of Queen Elizabeth I as ruler of England, because she has a legitimate claim to the English throne. Betrayals, rebellions, conspiracies and their own life choices imperil both Queens. They experience the bitter cost of power, until their tragic fate is finally fulfilled.",Josie Rourke,"Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn, David Tennant",124,07/12/2018,6.556,/static/posters/Mary_Queen_of_Scots.jpg,https://www.youtube.com/embed/Ot5MHftOT7g
4197,An Affair: My Sister-in-law's Love,Drama | Romance,"Eun-joo is a twenty-year-old pre-college student who lives with her sister Eun-hee. Eun-hee is worried about her sister's academics and hires Je-hyuk as her tutor. Eun-joo falls for Je-hyuk as time goes by. They end up making love. A few months later, Eun-joo improves her grades and passes her tests. However, Eun-hee announces that she's getting married to Je-hyuk and Eun-joo doesn't want to lose him...",Choi Min,"Lee Chae-dam, Do Mo-se, Kim Ji-yeon",73,26/07/2018,4.889,/static/posters/An_Affair_My_Sister-in-law's_Love.jpg,https://www.youtube.com/embed/DDyDa7-fZ5M
4198,The Professor,Comedy | Drama,"A world-weary college professor is given a life-changing diagnosis and decides to throw all pretense and conventions to the wind and live his life as boldly and freely as possible with a biting sense of humor, a reckless streak and a touch of madness.",Wayne Roberts,"Johnny Depp, Rosemarie DeWitt, Odessa Young, Danny Huston, Zoey Deutch",90,17/05/2018,6.866,/static/posters/The_Professor.jpg,https://www.youtube.com/embed/ev8MxilXgj0
4199,Summer of 84,Drama | Horror | Mystery,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.",Anouk Whissell,"Graham Verchere, Judah Lewis, Caleb Emery, Cory Gruter-Andrew, Tiera Skovbye",105,10/08/2018,6.905,/static/posters/Summer_of_84.jpg,https://www.youtube.com/embed/O5dX-qYzAz0
4200,Mary Magdalene,Drama,"In the first century, free-spirited Mary Magdalene flees the marriage her family has arranged for her, finding refuge and a sense of purpose in a radical new movement led by the charismatic, rabble-rousing preacher named Jesus.",Garth Davis,"Rooney Mara, Joaquin Phoenix, Chiwetel Ejiofor, Ariane Labed, Ryan Corr",120,15/03/2018,6.309,/static/posters/Mary_Magdalene.jpg,https://www.youtube.com/embed/w47IJjuEV8o
4201,Once Upon a Deadpool,Comedy | Action | Adventure,"A kidnapped Fred Savage is forced to endure Deadpool's PG-13 rendition of Deadpool 2, as a Princess Bride-esque story that's full of magic, wonder, and zero Fs.",David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz",118,11/12/2018,7.1,/static/posters/Once_Upon_a_Deadpool.jpg,https://www.youtube.com/embed/PCf03KXyzIg
4202,12 Feet Deep,Thriller,Two sisters are trapped under the fiberglass cover of an Olympic sized public pool and must brave the cold and each other to survive the harrowing night.,Matt Eskandari,"Nora-Jane Noone, Alexandra Park, Diane Farr, Tobin Bell, Dogen Eyeler",85,08/11/2018,6,/static/posters/12_Feet_Deep.jpg,https://www.youtube.com/embed/jxL67tUPt7Q
4203,Believer,Crime | Action | Thriller,"After a traumatic event, a drug trafficker turns sides and conspires with a dangerously ambitious undercover police officer to bring down the mysterious kingpin of a major drug cartel.",Lee Hae-young,"Cho Jin-woong, Ryu Jun-yeol, Kim Joo-hyuk, Cha Seung-won, Kim Sung-ryung",123,22/05/2018,7.201,/static/posters/Believer.jpg,https://www.youtube.com/embed/jopY1WkXKdo
4204,Slender Man,Horror | Mystery | Thriller,"In a small town in Massachusetts, four high school girls perform a ritual in an attempt to debunk the lore of Slender Man. When one of the girls goes mysteriously missing, they begin to suspect that she is, in fact, his latest victim.",Sylvain White,"Javier Botet, Joey King, Julia Goldani Telles, Jaz Sinclair, Annalise Basso",93,17/05/2018,4.293,/static/posters/Slender_Man.jpg,https://www.youtube.com/embed/eRV-c3hs3vw
4205,Kursk,Drama | History | Thriller | Action,"Barents Sea, August 12th, 2000. During a Russian naval exercise, and after suffering a serious accident, the K-141 Kursk submarine sinks with 118 crew members on board. While the few sailors who are still alive barely manage to survive, their families push for accurate information and a British officer struggles to obtain from the Russian government a permit to attempt a rescue before it is late. But general incompetence are against all their efforts.",Thomas Vinterberg,"Matthias Schoenaerts, Léa Seydoux, Peter Simonischek, Max von Sydow, August Diehl",118,07/11/2018,6.7,/static/posters/Kursk.jpg,https://www.youtube.com/embed/vJAQKZ-byw4
4206,Raazi,Thriller | Action | Drama | History,An Indian spy is married to a Pakistani military officer during the Indo-Pakistani War of 1971.,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma, Ashwath Bhatt",138,10/05/2018,7.2,/static/posters/Raazi.jpg,https://www.youtube.com/embed/YjMSttRJrhA
4207,Possum,Drama | Horror | Thriller,A disgraced children's puppeteer returns to his childhood home and is forced to confront his wicked stepfather and the secrets that have tortured him his entire life.,Matthew Holness,"Sean Harris, Alun Armstrong, Andy Blithe, Ryan Enever, Charlie Eales",85,26/10/2018,6.153,/static/posters/Possum.jpg,https://www.youtube.com/embed/O5jaqmQyAJw
4208,Zero,Romance | Drama | Comedy,"Short in stature but big on love, a bachelor meets two very different women who broaden his horizons and help him find purpose in life.",Aanand L. Rai,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Tigmanshu Dhulia, Abhay Deol",164,21/12/2018,5.2,/static/posters/Zero.jpg,https://www.youtube.com/embed/Ru4lEmhHTF4
4209,Pokémon the Movie: The Power of Us,Animation | Family | Adventure | Fantasy,"A young athlete whose running days might be behind her, a compulsive liar, a shy researcher, a bitter old woman, and a little girl with a big secret—the only thing they have in common is the annual Wind Festival in Fula City.  The festival celebrates the Legendary Pokémon Lugia, who brings the wind that powers this seaside city. When a series of threats endangers not just the festival, but all the people and Pokémon of Fula City, it’ll take more than just Satoshi and Pikachu to save the day! Can everyone put aside their differences and work together—or will it all end in destruction?",Tetsuo Yajima,"Rica Matsumoto, Ikue Otani, Megumi Hayashibara, Shin-ichiro Miki, Inuko Inuyama",98,13/07/2018,7.1,/static/posters/Pokémon_the_Movie_The_Power_of_Us.jpg,https://www.youtube.com/embed/8PGsP59Io20
4210,The Hurricane Heist,Action | Adventure | Crime | Thriller,Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.,Rob Cohen,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona",103,28/02/2018,5.681,/static/posters/The_Hurricane_Heist.jpg,https://www.youtube.com/embed/KP4sl0_pN68
4211,Black Water,Action | Thriller,"A deep cover operative awakens to find himself imprisoned on a submarine. With the help of a fellow prisoner and an amateur agent, he must race against the clock to escape the vessel and expose who set him up.",Pasha Patriki,"Jean-Claude Van Damme, Dolph Lundgren, Patrick Kilpatrick, Al Sapienza, Jasmine Waltz",105,18/05/2018,5.552,/static/posters/Black_Water.jpg,https://www.youtube.com/embed/WOTDGACjzcY
4212,Mitron,Romance | Comedy | Family,"Jai (Jackky Bhagnani), born and brought up with middle-class values, has a ‘take it easy’ approach to life. Since he doesn't believe in herd mentality, he and his two best friends, Raunak (Pratik Gandhi) and Deepu (Shivam Parekh) start looking for unique ways to make it big in the world. During this trial and error phase, Jai realizes his dream. But his decision of choosing an unprofitable career path doesn’t go down too well with his father (Neeraj Sood), who has bigger aspirations for him. Therefore, in order to bring stability in his life, his father decides to get him married. Destiny, however, has something else in store for Jai, when he accidentally meets Avni (Kritika Kamra), an ambitious, MBA graduate, who wants to start her own business. Set in the backdrop of the Gujarati milieu, the film traces Jai and Avni’s personal journey, as they both find themselves and discover the true meaning of friendship in the bargain.",Nitin Kakkar,"Jacky Bhagnani, Kritika Kamra, Prateik Babbar, Perlene Bhesania, Rishi Panchal",116,14/09/2018,6.2,/static/posters/Mitron.jpg,https://www.youtube.com/embed/-7oSVaQp6CM
4213,Tell It to the Bees,Romance | Drama,"Dr. Jean Markham returns to the town she left as a teenager to take over her late father's medical practice. When a school-yard scuffle lands Charlie in her surgery, she invites him to visit the hives in her garden and tell his secrets to the bees, as she once did. The new friendship between the boy and the bee keeper brings his mother Lydia into Jean's world.",Annabel Jankel,"Anna Paquin, Holliday Grainger, Emun Elliott, Steven Robertson, Lauren Lyle",106,09/09/2018,7.5,/static/posters/Tell_It_to_the_Bees.jpg,https://www.youtube.com/embed/X7nhkNAfHtw
4214,Suicide Squad: Hell to Pay,Science Fiction | Action | Animation | Fantasy,"It’s batter up at Belle Reve and that can only mean that Amanda Waller, the penitentiary’s cold and calculating warden, has a mission that only the damned will take on. It’s time to unleash Task Force X again, stacked with seasoned vets such as Deadshot, Captain Boomerang and Harley Quinn, these crafty criminals are joined by newcomers Copperhead, Killer Frost and the martial art master, Bronze Tiger! With the target objective being a mystical object so powerful that they’re willing to risk their own lives to steal it, you can be sure it will be collision of chaos, gunfire and attitudes. So, take aim for a raging road trip with the Suicide Squad!",Sam Liu,"Christian Slater, Tara Strong, Billy Brown, Liam McIntyre, Vanessa Williams",86,23/03/2018,7.1,/static/posters/Suicide_Squad_Hell_to_Pay.jpg,https://www.youtube.com/embed/l0FyWzZtI94
4215,The Death of Superman,Science Fiction | Animation | Action | Drama | Fantasy,"When a hulking monster arrives on Earth and begins a mindless rampage, the Justice League is quickly called in to stop it. But it soon becomes apparent that only Superman can stand against the monstrosity.",Jake Castorena,"Jerry O'Connell, Rebecca Romijn, Rainn Wilson, Rosario Dawson, Nathan Fillion",81,24/07/2018,7.4,/static/posters/The_Death_of_Superman.jpg,https://www.youtube.com/embed/J5aMJ1qMgA8
4216,"Paul, Apostle of Christ",Drama,"Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",Andrew Hyatt,"Jim Caviezel, James Faulkner, Olivier Martinez, Joanne Whalley, John Lynch",108,23/03/2018,7.604,"/static/posters/Paul,_Apostle_of_Christ.jpg",https://www.youtube.com/embed/LyOqQZUDdO4
4217,Just a Breath Away,Drama | Science Fiction | Thriller,"When a deadly mist engulfs Paris, people find refuge in the upper floors of the buildings. With no information, no electricity and hardly any supplies, Mathieu, Anna and their daughter Sarah try to survive the disaster.",Daniel Roby,"Romain Duris, Olga Kurylenko, Fantine Harduin, Michel Robin, Anna Gaylor",90,04/04/2018,6.32,/static/posters/Just_a_Breath_Away.jpg,https://www.youtube.com/embed/4eU52Gh3P08
4218,The Spy Gone North,Drama | History | Thriller,"South Korea, 1993. An agent of the National Intelligence Service is sent to Beijing to infiltrate a group of North Korean officials with the ultimate goal of obtaining information about their nuclear program.",Yoon Jong-bin,"Hwang Jung-min, Lee Sung-min, Cho Jin-woong, Ju Ji-hoon, Jeong So-ri",138,08/08/2018,7.398,/static/posters/The_Spy_Gone_North.jpg,https://www.youtube.com/embed/uXIbDj4IvNI
4219,Hell Fest,Horror | Thriller,"On Halloween night at a horror theme park, a costumed killer begins slaying innocent patrons who believe that it's all part of the festivities.",Gregory Plotkin,"Amy Forsyth, Reign Edwards, Bex Taylor-Klaus, Christian James, Roby Attal",89,27/09/2018,5.659,/static/posters/Hell_Fest.jpg,https://www.youtube.com/embed/qLQhsngi8bc
4220,Apostle,Horror | Mystery | Drama | Fantasy,"In 1905, a man travels to a remote island in search of his missing sister who has been kidnapped by a mysterious religious cult.",Gareth Evans,"Dan Stevens, Michael Sheen, Lucy Boynton, Mark Lewis Jones, Bill Milner",130,21/09/2018,6.11,/static/posters/Apostle.jpg,https://www.youtube.com/embed/J1JdWOqc9Q8
4221,Sherlock Gnomes,Animation | Family | Fantasy | Comedy | Adventure | Mystery,Garden gnomes Gnomeo & Juliet recruit renown detective Sherlock Gnomes to investigate the mysterious disappearance of other garden ornaments.,John Stevenson,"Johnny Depp, Emily Blunt, James McAvoy, Chiwetel Ejiofor, Mary J. Blige",86,15/03/2018,5.688,/static/posters/Sherlock_Gnomes.jpg,https://www.youtube.com/embed/gwcdJXhngBw
4222,Gotti,Crime | Drama | History | Thriller,"John Gotti rises to the top of the New York underworld to become the boss of the Gambino crime family. His life takes a tumultuous turn as he faces tragedy, multiple trials and a prison sentence.",Kevin Connolly,"John Travolta, Spencer Rocco Lofranco, Kelly Preston, Pruitt Taylor Vince, William DeMeo",106,14/06/2018,5.307,/static/posters/Gotti.jpg,https://www.youtube.com/embed/m290GmN-Q7Q
4223,Kaala,Action | Crime | Drama,"Karikaalan consistently fights to keep the people of Dharavi, a slum in Mumbai, safe from the clutches of mighty politicians and the land mafia don, Hari Dhadha.",Pa. Ranjith,"Rajinikanth, Nana Patekar, Samuthirakani, Easwari Rao, Huma Qureshi",166,07/06/2018,6.646,/static/posters/Kaala.jpg,https://www.youtube.com/embed/mMCEvr3VWqQ
4224,High Society,Drama,"The story of the journey of married couple up the social latter. The husband is professor at Seoul National University who is running for the National Assembly, and his wife is a painter.",Byun Hyuk,"Park Hae-il, Soo Ae, Yoon Je-moon, Ra Mi-ran, Lee Jin-uk",119,29/08/2018,5.5,/static/posters/High_Society.jpg,https://www.youtube.com/embed/e3-YFKCCocE
4225,Redcon-1,Action | Horror | Science Fiction,"After a zombie apocalypse spreads from a London prison, the UK is brought to its knees. The spread of the virus is temporarily contained but, without a cure, it’s only a matter of time before it breaks its boundaries and the biggest problem of all… any zombies with combat skills are now enhanced. With the South East of England quarantined from the rest of the world using fortified borders, intelligence finds that the scientist responsible for the outbreak is alive and well in London. With his recovery being the only hope of a cure, a squad of eight Special Forces soldiers is sent on a suicide mission to the city, now ruled by the undead, with a single task: get him out alive within 72 hours by any means necessary. What emerges is an unlikely pairing on a course to save humanity against ever-rising odds.",Chee Keong Cheung,"Oris Erhuero, Carlos Gallardo, Mark Strange, Joshua Dickinson, Martyn Ford",117,07/09/2018,5.691,/static/posters/Redcon-1.jpg,https://www.youtube.com/embed/OqYyEJpa7xg
4226,Shadow,Action | War,"In a kingdom ruled by a young and unpredictable king, the military commander has a secret weapon: a shadow, a look-alike who can fool both his enemies and the King himself. Now he must use this weapon in an intricate plan that will lead his people to victory in a war that the King does not want.",Zhang Yimou,"Deng Chao, Sun Li, Ryan Zheng, Wang Qianyuan, Wang Jingchun",116,30/09/2018,6.73,/static/posters/Shadow.jpg,https://www.youtube.com/embed/Zw3LjaZlSLM
4227,Lizzie,Crime | Drama | Thriller,"Massachusetts, 1892. An unmarried woman of 32 and a social outcast, Lizzie lives a claustrophobic life under her father's cold and domineering control. When Bridget Sullivan, a young maid, comes to work for the family, Lizzie finds a sympathetic, kindred spirit, and a secret intimacy soon blossoms into a wicked plan.",Craig William Macneill,"Chloë Sevigny, Kim Dickens, Kristen Stewart, Jamey Sheridan, Fiona Shaw",106,14/09/2018,6.216,/static/posters/Lizzie.jpg,https://www.youtube.com/embed/1BHPGudlLuc
4228,The Guernsey Literary & Potato Peel Pie Society,Romance | Drama | History,"Free-spirited writer Juliet Ashton forms a life-changing bond with the delightful and eccentric Guernsey Literary and Potato Peel Pie Society, when she decides to write about the book club they formed during the occupation of Guernsey in WWII.",Mike Newell,"Lily James, Jessica Brown Findlay, Matthew Goode, Michiel Huisman, Katherine Parkinson",124,19/04/2018,7.4,/static/posters/The_Guernsey_Literary_&_Potato_Peel_Pie_Society.jpg,https://www.youtube.com/embed/vP9eDmX0ow0
4229,Uncle Drew,Comedy,Uncle Drew recruits a squad of older basketball players to return to the court to compete in a tournament.,Charles Stone III,"Kyrie Irving, Lil Rel Howery, Shaquille O'Neal, Chris Webber, Reggie Miller",103,27/06/2018,6.652,/static/posters/Uncle_Drew.jpg,https://www.youtube.com/embed/9H2SSvQ8ihA
4230,Ratsasan,Thriller | Crime | Mystery,"A serial killer is murdering school girls, and a newbie cop has to track him down before the victim count increases.",Ram Kumar,"Vishnu Vishal, Amala Paul, Suzane George, Kaali Venkat, Radha Ravi",170,05/10/2018,7.401,/static/posters/Ratsasan.jpg,https://www.youtube.com/embed/GsrN7rNch9Y
4231,Prospect,Science Fiction,"A teenage girl and her father travel to a remote alien moon, aiming to strike it rich. They've secured a contract to harvest a large deposit of the elusive gems hidden in the depths of the moon's toxic forest. But there are others roving the wilderness and the job quickly devolves into a fight to survive.",Zeek Earl,"Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo, Sheila Vand",98,02/10/2018,6.203,/static/posters/Prospect.jpg,https://www.youtube.com/embed/gz3IHOTwZZg
4232,Final Score,Action | Thriller | Adventure | Drama,"When a stadium is seized by a group of heavily armed criminals during a major sporting event, an ex-soldier must use all his military skills to save both the daughter of a fallen comrade and the huge crowd unaware of the danger.",Scott Mann,"Dave Bautista, Pierce Brosnan, Ray Stevenson, Amit Shah, Lara Peake",105,07/09/2018,6.072,/static/posters/Final_Score.jpg,https://www.youtube.com/embed/aLzYyK8gPSI
4233,Life of the Party,Comedy,"When her husband suddenly dumps her, longtime dedicated housewife Deanna turns regret into re-set by going back to college... landing in the same class and school as her daughter, who's not entirely sold on the idea. Plunging headlong into the campus experience, the increasingly outspoken Deanna – now Dee Rock – embraces freedom, fun, and frat boys on her own terms, finding her true self in a senior year no one ever expected.",Ben Falcone,"Melissa McCarthy, Matt Walsh, Molly Gordon, Gillian Jacobs, Luke Benward",105,10/05/2018,6.1,/static/posters/Life_of_the_Party.jpg,https://www.youtube.com/embed/tyuPsEdUP94
4234,The Suit,Action | Comedy | Drama,"The events revolve around Akram, who receives an invitation to attend a masquerade party. He decides to wear police uniforms, which causes him to suffer a crisis as a police officer, while looking for a particular file.",Mohamed Gamal Al Adl,"Tamer Hosny, Akram Hosni, Maged Elmasry, Amina Khalil, Mahmoud El-Bezzawy",96,21/08/2018,6.054,/static/posters/The_Suit.jpg,https://www.youtube.com/embed/Yh9L0ZGAB-M
4235,A-X-L,Science Fiction | Action | Adventure | Family,The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,Oliver Daly,"Alex Neustaedter, Becky G, Alex MacNicoll, Dominic Rains, Thomas Jane",98,23/08/2018,6.3,/static/posters/A-X-L.jpg,https://www.youtube.com/embed/--8nr2kt4uk
4236,An Affair,Drama,"A newly appointed teacher finds herself being followed, and soon discovers that one of her own students is obsessed with her.",Henrik Martin Dahlsbakken,"Andrea Bræin Hovig, Tarjei Sandvik Moe, Anneke von der Lippe, Carsten Bjørnlund, Lea Meyer",92,05/10/2018,5.472,/static/posters/An_Affair.jpg,https://www.youtube.com/embed/fhB7NMSxgCM
4237,Natsume's Book of Friends: Ephemeral Bond,Animation | Fantasy | Drama,"The movie of  Natsume's Book of Friends series. Natsume has been busy, navigating between humans and Yokai when he coincidentally reunites with an old classmate, Yuki. It brings back painful memories of a certain Yokai. Meanwhile, Natsume also became acquainted with Yorie Tsumura, a woman in the memories of a Yokai whose name he had returned. Yorie knew much about Reiko, but now lived a peaceful life with her only son, Mukuo. Being with this family was comforting for Natsume, but apparently a mysterious Yokai has been lurking in their town. On the way back from investigating, a ""Yokai seed"" that had latched itself to Nyanko Sensei drops into the Fujiwaras' garden and grows overnight into a fruit tree. When Nyanko Sensei eats a fruit that is somehow shaped like himself, he suddenly splits into three!",Takahiro Omori,"Hiroshi Kamiya, Kazuhiko Inoue, Kazuma Horie, Ryohei Kimura, Hisayoshi Suganuma",104,29/09/2018,7.32,/static/posters/Natsume's_Book_of_Friends_Ephemeral_Bond.jpg,https://www.youtube.com/embed/urtKQZmyxQE
4238,High Life,Science Fiction | Drama | Mystery,A father and his daughter struggle to survive in deep space where they live in isolation.,Claire Denis,"Robert Pattinson, Juliette Binoche, André 3000, Mia Goth, Agata Buzek",113,26/09/2018,5.736,/static/posters/High_Life.jpg,https://www.youtube.com/embed/pyPPLC1Fqag
4239,Little Tickles,Drama | Comedy,"Odette is a 8-yr-old girl who loves to dance and draw. Once she has become an adult, Odette realizes she was abused, and immerses herself body and soul in her career as a dancer while trying to deal with her past.",Andréa Bescond,"Andréa Bescond, Karin Viard, Clovis Cornillac, Pierre Deladonchamps, Grégory Montel",103,14/11/2018,7.4,/static/posters/Little_Tickles.jpg,https://www.youtube.com/embed/2bryzG7bG3c
4240,Siberia,Crime | Romance | Thriller,"Lucas, a diamond trader who travels to Saint Petersburg to arrange a sale, discovers that his Russian business partner has left his hotel and gone to a small Siberian village, so Lucas also heads there to try find him.",Matthew Ross,"Keanu Reeves, Ana Ularu, Pasha D. Lychnikoff, Boris Gulyarin, Ashley St. George",105,13/07/2018,4.713,/static/posters/Siberia.jpg,https://www.youtube.com/embed/FrXPIZN2ehY
4241,Long Day's Journey into Night,Drama | Mystery,"Luo Hongwu returns to Kaili, the hometown from which he fled many years ago. He begins the search for the woman he loved and whom he has never been able to forget.",Bi Gan,"Tang Wei, Huang Jue, Sylvia Chang, Lee Hong Chi, Chen Yongzhong",138,31/12/2018,6.992,/static/posters/Long_Day's_Journey_into_Night.jpg,https://www.youtube.com/embed/0yPt3kQzxa8
4242,Psychokinesis,Fantasy | Action,"An ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process.",Yeon Sang-ho,"Ryu Seung-ryong, Shim Eun-kyung, Park Jeong-min, Kim Min-jae, Jung Yu-mi",101,31/01/2018,6.27,/static/posters/Psychokinesis.jpg,https://www.youtube.com/embed/1EkIWVjBBc0
4243,How It Ends,Science Fiction | Thriller | Mystery | Action | Adventure,A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,David M. Rosenthal,"Theo James, Forest Whitaker, Kat Graham, Kerry Bishé, Grace Dove",113,13/07/2018,5.277,/static/posters/How_It_Ends.jpg,https://www.youtube.com/embed/WJyyJ7lexnM
4244,Life Itself,Drama | Romance,"As a young New York couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",Dan Fogelman,"Oscar Isaac, Olivia Wilde, Annette Bening, Antonio Banderas, Mandy Patinkin",118,21/09/2018,7.218,/static/posters/Life_Itself.jpg,https://www.youtube.com/embed/SOmGFWAMWh0
4245,The Package,Comedy,"When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession.",Jake Szymanski,"Daniel Doheny, Geraldine Viswanathan, Luke Spencer Roberts, Sadie Calvano, Eduardo Franco",94,10/08/2018,5.9,/static/posters/The_Package.jpg,https://www.youtube.com/embed/d3vjT0mqSC4
4246,Unsane,Horror | Thriller,A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.,Steven Soderbergh,"Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple, Aimee Mullins",98,22/03/2018,6.257,/static/posters/Unsane.jpg,https://www.youtube.com/embed/u7KZrt_cHH0
4247,Winchester,Horror | Thriller,"San Jose, California, 1906. Isolated in her labyrinthine mansion, eccentric firearm heiress Sarah Winchester believes that she is being haunted by the souls of those killed by the guns manufactured by her company.",Michael Spierig,"Jason Clarke, Helen Mirren, Sarah Snook, Finn Scicluna-O'Prey, Emm Wiseman",100,02/02/2018,5.885,/static/posters/Winchester.jpg,https://www.youtube.com/embed/0Juc2cL26mg
4248,Early Man,Family | Comedy | Animation | Adventure,"Dug, along with his sidekick Hognob, unite a cavemen tribe to save their hidden valley from being spoiled and, all together as a team, to face the menace of a mysterious and mighty enemy, on the turf of an ancient and sacred sport.",Nick Park,"Eddie Redmayne, Tom Hiddleston, Maisie Williams, Timothy Spall, Miriam Margolyes",89,26/01/2018,6.146,/static/posters/Early_Man.jpg,https://www.youtube.com/embed/yb8KO-76l0k
4249,SuperFly,Action | Crime,"Career criminal Youngblood Priest wants out of the Atlanta drug scene, but as he ramps up sales, one little slip up threatens to bring the whole operation down before he can make his exit.",Director X.,"Trevor Jackson, Jason Mitchell, Michael Kenneth Williams, Lex Scott Davis, Jennifer Morrison",107,13/06/2018,6.738,/static/posters/SuperFly.jpg,https://www.youtube.com/embed/MQIvV800Atk
4250,Deep Blue Sea 2,Action | Horror | Science Fiction,"When shark conservationist Dr. Misty Calhoun is invited to consult on a top-secret project run by pharmaceutical billionaire Carl Durant, she is shocked to learn that the company is using unpredictable and highly aggressive bull sharks as its test subjects, which soon break loose and cause havoc.",Darin Scott,"Danielle Savre, Rob Mayes, Michael Beach, Nathan Lynn, Kim Syster",94,17/04/2018,5.091,/static/posters/Deep_Blue_Sea_2.jpg,https://www.youtube.com/embed/nF465jHpqXk
4251,Samson,Action | Drama | Adventure,"After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.",Bruce Macdonald,"Taylor James, Jackson Rathbone, Billy Zane, Caitlin Leahy, Frances Sholto-Douglas",110,16/02/2018,5.747,/static/posters/Samson.jpg,https://www.youtube.com/embed/mSolF3QBVBY
4252,Occupation,Action | Science Fiction | Drama,"Town residents must band together after a devastating alien invasion. As they struggle to survive, they realize they must stay one step ahead of their attackers and work together for a chance to strike back.",Luke Sparke,"Dan Ewing, Temuera Morrison, Stephanie Jacobsen, Rhiannon Fish, Jacqueline McKenzie",119,12/07/2018,4.682,/static/posters/Occupation.jpg,https://www.youtube.com/embed/ImW9ijMIuoQ
4253,Billionaire Boys Club,Drama,A group of wealthy boys in Los Angeles during the early 1980s establishes a get rich quick scam that turns deadly.,James Cox,"Ansel Elgort, Kevin Spacey, Taron Egerton, Emma Roberts, Jeremy Irvine",108,19/07/2018,5.722,/static/posters/Billionaire_Boys_Club.jpg,https://www.youtube.com/embed/P208BnSSoys
