id,title,genres,overview,director,cast,runtime,release_date,rating,poster_url,trailer_url
24,The Other Guys,Comedy | Action | Crime,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",Adam McKay,"Will Ferrell, Mark Wahlberg, Eva Mendes, Michael Keaton, Steve Coogan",116,06/08/2010,6.311,/static/posters/The_Other_Guys.jpg,https://www.youtube.com/embed/D6WOoUG1eNo
25,The Town,Crime | Drama | Thriller,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",Ben Affleck,"Ben Affleck, Jeremy Renner, Rebecca Hall, Jon Hamm, Blake Lively",125,15/09/2010,7.218,/static/posters/The_Town.jpg,https://www.youtube.com/embed/uAjECYnrYks
26,From Paris with Love,Action | Crime | Thriller,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.",Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin",92,04/02/2010,6.311,/static/posters/From_Paris_with_Love.jpg,https://www.youtube.com/embed/-jAbatBqqSc
27,The A-Team,Action | Comedy | Crime,"A man who loves when a plan comes together, Col. Hannibal Smith leads a close-knit team of elite operatives and Iraq War veterans. Framed for a crime they didn't commit, Smith and his men, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck, break out and go rogue, using their special talents to clear their names and find the perpetrator. Hot on their trail is Capt. Charissa Sosa, who was once involved with a member of Smith's team and has sworn to capture them, no matter what it takes.",Joe Carnahan,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson, Sharlto Copley",117,09/06/2010,6.406,/static/posters/The_A-Team.jpg,https://www.youtube.com/embed/exyzEFrmLuM
28,Incendies,Drama | War | Mystery,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman",131,17/09/2010,8.094,/static/posters/Incendies.jpg,https://www.youtube.com/embed/XJ69WnwvZhE
29,Scott Pilgrim vs. the World,Action | Comedy | Romance,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Ellen Wong, Kieran Culkin, Alison Pill",113,12/08/2010,7.5,/static/posters/Scott_Pilgrim_vs._the_World.jpg,https://www.youtube.com/embed/5wL2I_JVzgw
30,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure | Family | Fantasy,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Anna Popplewell",113,02/12/2010,6.438,/static/posters/The_Chronicles_of_Narnia_The_Voyage_of_the_Dawn_Treader.jpg,https://www.youtube.com/embed/LuGUVkO0cRM
31,RED,Action | Adventure | Comedy | Crime | Thriller,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",Robert Schwentke,"Bruce Willis, John Malkovich, Morgan Freeman, Helen Mirren, Mary-Louise Parker",111,13/10/2010,6.698,/static/posters/RED.jpg,https://www.youtube.com/embed/-JZ_moituIo
32,Legion,Horror | Action | Fantasy,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",Scott Stewart,"Paul Bettany, Dennis Quaid, Lucas Black, Kate Walsh, Tyrese Gibson",100,21/01/2010,5.89,/static/posters/Legion.jpg,https://www.youtube.com/embed/P6p01-in6-k
33,Salt,Action | Mystery | Thriller,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a Russian defector accuses her of being a Russian sleeper spy. She goes on the run, using all her skills and years of experience as a covert operative to elude capture, protect her husband, and stay one step ahead of her colleagues at the CIA. Her efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl",100,21/07/2010,6.411,/static/posters/Salt.jpg,https://www.youtube.com/embed/LbkQTB-OJsk
34,I Saw the Devil,Thriller | Horror,"Kyung-chul is a dangerous psychopath who kills for pleasure. Soo-hyeon, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.",Kim Jee-woon,"Lee Byung-hun, Choi Min-sik, Jeon Kuk-hwan, Cheon Ho-jin, Oh San-ha",142,12/08/2010,7.797,/static/posters/I_Saw_the_Devil.jpg,https://www.youtube.com/embed/uXIx5cxrvDs
35,Kick-Ass,Action | Crime,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,"Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage, Lyndsy Fonseca, Mark Strong",117,26/03/2010,7.123,/static/posters/Kick-Ass.jpg,https://www.youtube.com/embed/RdBiTjy7AEI
36,The Book of Eli,Action | Thriller | Science Fiction,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",Allen Hughes,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals",118,14/01/2010,6.785,/static/posters/The_Book_of_Eli.jpg,https://www.youtube.com/embed/yAQcwKY0Dik
37,Undisputed III: Redemption,Action | Thriller | Crime | Drama,"Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament.",Isaac Florentine,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir, Hristo Shopov, Marko Zaror",96,17/04/2010,7.53,/static/posters/Undisputed_III_Redemption.jpg,https://www.youtube.com/embed/qq-yqajCo6k
38,The Secret World of Arrietty,Fantasy | Animation | Family,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",Hiromasa Yonebayashi,"Mirai Shida, Ryunosuke Kamiki, Tomokazu Miura, Keiko Takeshita, Kirin Kiki",94,16/07/2010,7.665,/static/posters/The_Secret_World_of_Arrietty.jpg,https://www.youtube.com/embed/ncXbAhTzIYc
39,Due Date,Comedy | Drama,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis",95,03/11/2010,6.385,/static/posters/Due_Date.jpg,https://www.youtube.com/embed/hEtu68oxBfc
40,Piranha 3D,Comedy | Horror,"Each year the population of sleepy Lake Victoria, Arizona explodes from 5,000 to 50,000 residents for the annual Spring Break celebration. But then, an earthquake opens an underwater chasm, releasing an enormous swarm of ancient Piranha that have been dormant for thousands of years, now with a taste for human flesh. This year, there's something more to worry about than the usual hangovers and complaints from locals, a new type of terror is about to be cut loose on Lake Victoria.",Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Steven R. McQueen, Jessica Szohr, Kelly Brook",88,20/08/2010,5.403,/static/posters/Piranha_3D.jpg,https://www.youtube.com/embed/AImr8U_7CX4
41,Blue Valentine,Drama | Romance,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman, Mike Vogel, Ben Shenkman",112,26/12/2010,6.942,/static/posters/Blue_Valentine.jpg,https://www.youtube.com/embed/aw0NChcdQfQ
42,Knight and Day,Action | Comedy,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",James Mangold,"Tom Cruise, Cameron Diaz, Peter Sarsgaard, Viola Davis, Jordi Mollà",109,15/06/2010,6.221,/static/posters/Knight_and_Day.jpg,https://www.youtube.com/embed/VDoNfrBlY3o
43,The King's Speech,Drama | History,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Guy Pearce, Timothy Spall",118,26/11/2010,7.733,/static/posters/The_King's_Speech.jpg,https://www.youtube.com/embed/HXMqX9s67kY
44,127 Hours,Adventure | Drama | Thriller,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,Danny Boyle,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan",94,12/11/2010,7.1,/static/posters/127_Hours.jpg,https://www.youtube.com/embed/OlhLOWTnVoQ
45,Eat Pray Love,Drama | Romance,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",Ryan Murphy,"Julia Roberts, Javier Bardem, James Franco, Billy Crudup, Richard Jenkins",133,12/08/2010,6.2,/static/posters/Eat_Pray_Love.jpg,https://www.youtube.com/embed/mjay5vgIwt4
46,El Infierno,Action | Crime | Western | Comedy | Drama,"After being deported back to Mexico, a man has no choice but to join the vicious drug cartel that has corrupted his hometown in order to survive.",Luis Estrada,"Damián Alcázar, Joaquín Cosío, Ernesto Gómez Cruz, María Rojo, Elizabeth Cervantes",148,03/09/2010,7.9,/static/posters/El_Infierno.jpg,https://www.youtube.com/embed/n4jQnRkj-gU
47,True Grit,Drama | Adventure | Western,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",Joel Coen,"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin, Barry Pepper",110,22/12/2010,7.306,/static/posters/True_Grit.jpg,https://www.youtube.com/embed/Q5fEgKj9QNs
48,Prince of Persia: The Sands of Time,Adventure | Fantasy | Action,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint",116,19/05/2010,6.285,/static/posters/Prince_of_Persia_The_Sands_of_Time.jpg,https://www.youtube.com/embed/m--uWEyMbrY
